name,price,description,features,image link,link
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_lip_and_eye_makeup_remover_egypt.png,https://www.eg.shopbeesline.com/en/catalog/product/view/id/165/s/lip-eye-whitening-makeup-remover/category/11/
Whitening & Lifting Facial Foam,EGP195.00,"An innovative, gentle cleanser with a creamy foaming texture to purify, moisturise & lift the skin. Simultaneously whitens, eliminating dullness & dark spots.","-	SMOOTH & LIFTED SKIN
-	RADIANT & EVEN SKIN TONE
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_whitening_and_lifting_foam_egypt.png,https://www.eg.shopbeesline.com/en/catalog/product/view/id/163/s/whitening-lifting-facial-foam/category/11/
Whitening Facial Wash,EGP215.00,"A gentle cleanser that removes dirt & oils while its natural whitening properties rejuvenate, brighten & even the skin’s complexion. For oily to combination skin.","-	DEEPLY CLEANSED SKIN
-	RADIANT & EVEN SKIN TONE
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_whitening_facial_wash_egypt.png,https://www.eg.shopbeesline.com/en/catalog/product/view/id/162/s/whitening-facial-wash/category/11/
Whitening Intimate Wash,EGP215.00,"A natural daily wash that gently cleanses the skin without disrupting the delicate pH levels of the vagina. Eliminates odour, lightens darkened skin & keeps intimates moisturised & supple.","-	SOOTHED & LIGHTENED INTIMATES
-	FRESH & CLEAN FEEL
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_intimate_hygiene_wash_egypt.png,https://www.eg.shopbeesline.com/en/whitening-intimate-wash.html
Beeswax Ointment Fragrance-Free,EGP185.00,"An all-natural, multi-purpose & potent ointment that provides super nourishing & intense healing effects for cracked, chapped & dry skin. Even relieves skin conditions such as eczema due to its moisturising, antimicrobial properties.","-	HEALED SKIN
-	SOOTHED SKIN
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/t/e/test.jpg,https://www.eg.shopbeesline.com/en/beeswax-ointment-fragrance-free.html
Moisturizing Body Lotion,EGP215.00,A soothing & nourishing lotion for dry & sensitive skin. Provides intense daily hydration for a healthy glow & feel.,"-	SMOOTH SKIN
-	HYDRATED SKIN
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/1/3/13.png,https://www.eg.shopbeesline.com/en/moisturising-body-lotion.html
Lip Care - Shimmery Cherry,EGP95.00,"The ultimate cure for dry, chapped lips! Soothes, moisturises & regenerates the lips sensitive skin through nature’s healing beeswax & precious oils while protecting from external irritants.","-	SMOOTH LIPS
-	SUPPLE LIPS
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_lip_care_balm_shimmery_cherry_new.png,https://www.eg.shopbeesline.com/en/lip-care-shimmery-cherry.html
Lip Care - Shimmery Strawberry,EGP95.00,"The ultimate cure for dry, chapped lips! Soothes, moisturises & regenerates the lips sensitive skin through nature’s healing beeswax & precious oils while protecting from external irritants.","-	SMOOTH LIPS
-	SUPPLE LIPS
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_lip_care_balm_shimmery_strawberry_new.png,https://www.eg.shopbeesline.com/en/lip-care-shimmery-strawberry.html
Whitening Roll-On Deodorant - Invisible Touch,EGP195.00,"An innovative, safe & highly effective 48hr antiperspirant deodorant that works to fight body odour, adsorb moisture & soothe the skin while lightening & evening skin tone for clean & bright underarms.","-	BRIGHT & SMOOTH SKIN
-	STAIN-FREE CLOTHES
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_whitening_roll_on_invisible_touch.png,https://www.eg.shopbeesline.com/en/catalog/product/view/id/117/s/whitening-roll-on-deodorant-invisible-touch/category/11/
Deo Whitening - Invisible Touch,EGP180.00,"A skin-friendly spray deodorant with 72hr antiperspirant action to prevent moisture & body odour. All the while delaying hair growth & whitening, soothing & moisturising the skin for fresh & bright underarms.","-	DELAYED HAIR GROWTH
-	STAIN-FREE CLOTHES
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/i/n/invisible_touch_spray_deo.jpg,https://www.eg.shopbeesline.com/en/catalog/product/view/id/128/s/deo-whitening-invisible-touch/category/11/
Deo Whitening - Fragrance-Free,EGP180.00,"A skin-friendly spray deodorant with 72hr antiperspirant action to prevent moisture & body odour. All the while delaying hair growth & whitening, soothing & moisturising the skin for fresh & bright underarms.","-	FRESH, BRIGHT & SMOOTH SKIN
-	DELAYED HAIR GROWTH
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/f/r/fragrance_free.jpg,https://www.eg.shopbeesline.com/en/deo-whitening-fragrance-free.html
Deo Whitening - Beauty Pearl,EGP180.00,"A skin-friendly spray deodorant with 72hr antiperspirant action to prevent moisture & body odour. All the while delaying hair growth & whitening, soothing & moisturising the skin for fresh & bright underarms.","-	FRESH, BRIGHT & SMOOTH SKIN
-	DELAYED HAIR GROWTH
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beauty_pearl_spray_deo.jpg,https://www.eg.shopbeesline.com/en/deo-whitening-beauty-pearl.html
Feet & Heels Repair Cream,EGP225.00,"Intense healing & moisturising properties repair & soften rough, dry & cracked skin while antibacterial peppermint & eucalyptus provide cooling relief for sore feet.","-	SOFT FEET
-	FRESH FEET
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_feet_and_heels_cream.png,https://www.eg.shopbeesline.com/en/feet-heels-repair-cream.html
Honey Moisturizing Soap Fragrance-free,EGP120.00,"A universal fragrance-free honey bar that gently cleanses, purifies & moisturises the skin for a refreshed look & feel. Suitable for sensitive skin.","-	SMOOTH SKIN
-	CLEAN & FRESH SKIN
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/1/6/16_1.png,https://www.eg.shopbeesline.com/en/catalog/product/view/id/95/s/honey-moisturising-soap-fragrance-free/category/11/
Daily Use Shampoo Fragrance-Free,EGP125.00,"An everyday mild & safe “No Tears” formula to gently cleanse & moisturise the scalp, hair & body without stripping away natural oils.","-	CLEAN & SOFT HAIR
-	HEALTHY SCALP & SKIN
",https://www.shopbeesline.com/pub/media/catalog/product/cache/e250111f64e323ab2904f0870b8b3aea/b/e/beesline_daily_use_shampoo_egypt.png,https://www.eg.shopbeesline.com/en/catalog/product/view/id/96/s/daily-use-shampoo-fragrance-free/category/11/
Facial Whitening Mask,EGP25.00,"A revitalising mask that reduces the appearance of blemishes & brightens the skin for an even tone & radiant, healthy glow.","-	EVEN COMPLEXION
-	RADIANT GLOW
